session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5fea112deed16d9b0a68a8b3,591d369e88bbb500013a8517,APPROVED,2020-12-28 17:13:35.244000,2020-12-28 17:32:42.452000,1147.208,49,1333,1,100,2020-12-28 20:39:06.519000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea11aeebffe44d1f1b9c23,5fe4e0f1cb76972bf64c7eab,APPROVED,2020-12-28 17:11:14.832000,2020-12-28 17:17:20.290000,365.458,50,9,0,100,2020-12-28 20:40:02.043000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,DATA EXPIRED
5fea11b5d1cd50199ff75037,5e06389719232d022f392c9a,APPROVED,2020-12-28 17:11:21.042000,2020-12-28 17:16:21.208000,300.166,55,667,2,100,2020-12-28 20:40:05.207000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea11e2d92c4a1aa33e38af,5dd3bfcd8b8df139ce007928,APPROVED,2020-12-28 17:12:02.311000,2020-12-28 17:29:16.609000,1034.298,52,734,2,100,2020-12-28 20:40:26.101000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea11f78f6210968ecf38e5,5dfd077e3690bd03bfa91d48,APPROVED,2020-12-28 17:12:23.182000,2020-12-28 17:21:45.789000,562.607,54,910,3,100,2020-12-28 20:40:31.861000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1237bb7b294dcb7b5326,5fe146b36a3657bd99f9c179,APPROVED,2020-12-28 17:13:49.015000,2020-12-28 17:25:37.480000,708.465,51,14,0,100,2020-12-28 20:40:48.032000,66C39AD6,United States,United States,Full-Time,White,,United States,Male,No
5fea1239b890b14db5e348c6,5f907f31b1e858149a93c58a,APPROVED,2020-12-28 17:13:37.470000,2020-12-28 17:20:13.070000,395.6,52,155,0,100,2020-12-28 20:40:51.540000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea12caa4feb09a0f63e5ff,58cbd23d5d42920001414dd8,APPROVED,2020-12-28 17:15:58.995000,2020-12-28 17:19:01.227000,182.232,53,1698,10,99,2020-12-28 20:41:21.916000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1336b289af4e92833fd0,5f99a9a8a1558603b27e39e5,APPROVED,2020-12-28 17:17:47.830000,2020-12-28 17:29:07.413000,679.583,55,159,1,99,2020-12-28 20:41:50.580000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,Yes
5fea14925474cd9adee4e949,5fd529a4d15e6e3507dc921d,APPROVED,2020-12-28 17:23:39.186000,2020-12-28 17:46:46.330000,1387.144,49,30,0,100,2020-12-28 20:43:02.874000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
